Index,Agency Name,Programme Name,Primary Service User,Primary Service Type,Number of service users,Programme expenditure (range)
31,Support Support Services,Skills Programme 72,Adults,Financial & material assistance,45,"$20,000 to $50,000"
32,Sunshine Association,Skills Programme 17,Adults,Migrant worker support,3115,"$200,000 to $500,000"
33,Harmony Support Services,Skills Programme 80,Seniors,Social isolation,16,"$10,000 to $20,000"
34,Golden Hub,Care Services 35,Adults,Mental health,497,">$500,000"
35,Harmony Alliance,Care Services 29,Adults,Mental health,193,">$500,000"
36,Golden Foundation,Education Programme 34,Adults,Social isolation,3008,"$200,000 to $500,000"
37,Wellness Charity,Social Programme 15,Children & Youth,Academic support,73,"$100,000 to $200,000"
38,Wellness Services,Community Programme 80,Children & Youth,Health & medical,204,">$500,000"
39,Compassion Alliance,Rehabilitation Programme 17,Adults,Social isolation,44889,"$100,000 to $200,000"
40,Sunshine Foundation,Intervention Programme 37,Adults,Financial & material assistance,386,"$100,000 to $200,000"
41,Grace Welfare Society,Outreach Programme 85,Adults,Legal aid,43,"$50,000 to $100,000"
42,Circle Alliance,Care Services 26,Adults,Financial & material assistance,16,"<$10,000"
43,Haven Limited,Development Programme 92,Seniors,Social isolation,126,"$200,000 to $500,000"
44,Care Care Centre,Health Programme 7,Seniors,Social isolation,8,"$10,000 to $20,000"
45,Bridge Care Centre,Skills Programme 71,Children & Youth,Legal aid,31609,">$500,000"
46,Helping Mission,Care Services 36,Children & Youth,Academic support,19,"$10,000 to $20,000"
47,Family Association,Wellness Programme 30,Children & Youth,Personal development,4710,">$500,000"
48,Community Trust,Skills Programme 50,Seniors,Families & parenting,442,"$200,000 to $500,000"
49,United Collective,Skills Programme 69,Seniors,Financial & material assistance,14954,">$500,000"
50,Singapore Collective,Community Programme 86,Seniors,Health & medical,31131,"$200,000 to $500,000"
51,Rainbow Limited,Support Programme 11,Seniors,Health & medical,12410,">$500,000"
52,Support Initiative,Community Programme 98,Children & Youth,Mental health,27,"$50,000 to $100,000"
53,Community Group,Care Services 84,Adults,Reintegration,437,"$100,000 to $200,000"
54,Senior Council,Wellness Programme 61,Seniors,Caregiving support,14,"$10,000 to $20,000"
55,Bridge Centre,Outreach Programme 40,Adults,Work & career,38236,"$100,000 to $200,000"
56,Rainbow Mission,Care Services 14,Seniors,Social isolation,39849,"$200,000 to $500,000"
57,Wellness Outreach,Therapy Programme 9,Seniors,After-School Care,266,">$500,000"
58,Senior Hub,Outreach Programme 94,Seniors,Financial & material assistance,464,">$500,000"
59,New Initiative,Care Services 12,Children & Youth,Social isolation,288,"$100,000 to $200,000"
60,Singapore Welfare Society,Community Programme 24,Children & Youth,Legal aid,17,"$10,000 to $20,000"
61,Singapore Care Centre,Development Programme 11,Adults,Families & parenting,439,">$500,000"
62,Singapore Services,Intervention Programme 29,Children & Youth,Mental health,348,"$100,000 to $200,000"
63,Sunshine Initiative,Therapy Programme 90,Children & Youth,Personal development,17,"<$10,000"
64,Youth Support Services,Outreach Programme 25,Adults,Housing & shelter,352,">$500,000"
65,United Council,Therapy Programme 23,Children & Youth,Academic support,35,"$50,000 to $100,000"
66,United Association,Financial Aid Programme 14,Adults,Financial & material assistance,276,"$100,000 to $200,000"
67,Youth Services,Mentoring Programme 63,Adults,Mental health,128,"$200,000 to $500,000"
68,Youth Support Services,Skills Programme 78,Seniors,At-risk youth engagement,318,"$200,000 to $500,000"
69,Wellness Alliance,Training Initiative 79,Seniors,Financial & material assistance,49,"$50,000 to $100,000"
70,Bright Organization,Rehabilitation Programme 10,Adults,Financial & material assistance,29,"$100,000 to $200,000"
71,Bright Alliance,Intervention Programme 90,Children & Youth,At-risk youth engagement,15,"<$10,000"
72,Youth Support Services,Care Services 83,Adults,Health & medical,5180,"$200,000 to $500,000"
73,Youth Community Services,Intervention Programme 90,Children & Youth,Personal development,303,"$50,000 to $100,000"
74,Golden Charity,Assistance Scheme 4,Adults,Families & parenting,44,"$50,000 to $100,000"
75,Community Organization,Financial Aid Programme 67,Seniors,Health & medical,350,"$100,000 to $200,000"
76,Wellness Initiative,Community Programme 86,Adults,Reintegration,406,"$100,000 to $200,000"
77,Community Community Services,Counselling Services 41,Children & Youth,Academic support,26989,">$500,000"
78,Community Trust,Social Programme 47,Seniors,End-of-life planning,440,"$100,000 to $200,000"
79,Support Welfare Society,Education Programme 4,Seniors,Academic support,132,">$500,000"
80,Bright Centre,Health Programme 16,Seniors,Social isolation,417,">$500,000"
81,Helping Welfare Society,Care Services 59,Seniors,Caregiving support,13,"$10,000 to $20,000"
82,New Hub,Community Programme 65,Children & Youth,At-risk youth engagement,203,"$200,000 to $500,000"
83,Support Support Services,Financial Aid Programme 45,Children & Youth,Academic support,284,">$500,000"
84,Compassion Council,Skills Programme 6,Children & Youth,Mental health,25485,"$200,000 to $500,000"
85,Grace Limited,Community Programme 13,Children & Youth,Academic support,30,"$50,000 to $100,000"
86,Helping Network,Community Programme 80,Seniors,Academic support,219,"$50,000 to $100,000"
87,Sunshine Society,Counselling Services 31,Seniors,Financial & material assistance,167,"$100,000 to $200,000"
88,Support Organization,Intervention Programme 4,Adults,Families & parenting,234,"$100,000 to $200,000"
89,Wellness Limited,Outreach Programme 22,Adults,Mental health,25,"$20,000 to $50,000"
90,Support Mission,Assistance Scheme 59,Children & Youth,Early childhood,30991,"$200,000 to $500,000"
91,Harmony Limited,Intervention Programme 82,Children & Youth,Mental health,205,"$100,000 to $200,000"
92,Compassion Limited,Therapy Programme 74,Children & Youth,Reintegration,475,">$500,000"
93,Circle Society,Financial Aid Programme 37,Adults,Work & career,376,"$200,000 to $500,000"
94,Haven Mission,Training Initiative 40,Children & Youth,Work & career,24,"$50,000 to $100,000"
95,Wellness Organization,Development Programme 17,Seniors,Financial & material assistance,307,"$100,000 to $200,000"
96,Golden Centre,Health Programme 10,Adults,Mental health,397,">$500,000"
97,Compassion Foundation,Assistance Scheme 69,Adults,Reintegration,395,"$200,000 to $500,000"
98,Circle Council,Financial Aid Programme 4,Seniors,Social isolation,363,"$200,000 to $500,000"
99,Haven Hub,Education Programme 18,Adults,Personal development,303,">$500,000"
100,Support Group,Rehabilitation Programme 54,Seniors,Reintegration,263,">$500,000"
101,Community Group,Development Programme 57,Children & Youth,At-risk youth engagement,7012,"$100,000 to $200,000"
102,Compassion Network,Development Programme 16,Children & Youth,Personal development,14,"$20,000 to $50,000"
103,Bright Association,Development Programme 9,Seniors,Health & medical,14,"<$10,000"
104,Senior Association,Rehabilitation Programme 33,Adults,Mental health,2,"$10,000 to $20,000"
105,Golden Foundation,Outreach Programme 34,Adults,Mental health,27,"$10,000 to $20,000"
106,Support Group,Social Programme 76,Adults,Health & medical,365,"$200,000 to $500,000"
107,Community Welfare Society,Mentoring Programme 55,Seniors,Mental health,46,"$20,000 to $50,000"
108,Senior Services,Wellness Programme 36,Seniors,Disability support,217,"$100,000 to $200,000"
109,Grace Charity,Skills Programme 13,Seniors,Social isolation,42,"$50,000 to $100,000"
110,Support Council,Skills Programme 44,Children & Youth,At-risk youth engagement,20984,">$500,000"
111,Senior Outreach,Financial Aid Programme 9,Adults,Health & medical,100,"$50,000 to $100,000"
112,Sunshine Support Services,Community Programme 86,Adults,Mental health,49671,"$200,000 to $500,000"
113,Youth Limited,Social Programme 28,Adults,Work & career,106,"$100,000 to $200,000"
114,Rainbow Council,Skills Programme 72,Seniors,Sector training,64,"$20,000 to $50,000"
115,United Initiative,Therapy Programme 1,Adults,Crisis & safety,256,"$200,000 to $500,000"
116,Grace Trust,Mentoring Programme 54,Children & Youth,Social isolation,420,"$200,000 to $500,000"
117,Senior Organization,Training Initiative 87,Adults,Families & parenting,43,"$20,000 to $50,000"
118,New Trust,Social Programme 15,Children & Youth,Personal development,398,">$500,000"
119,Bright Collective,Training Initiative 1,Adults,Work & career,121,"$50,000 to $100,000"
120,Helping Hub,Outreach Programme 17,Children & Youth,At-risk youth engagement,337,"$100,000 to $200,000"
121,Wellness Foundation,Health Programme 10,Children & Youth,After-School Care,414,">$500,000"
122,Singapore Initiative,Outreach Programme 80,Children & Youth,Reintegration,6276,"$200,000 to $500,000"
123,Compassion Care Centre,Counselling Services 51,Children & Youth,Academic support,449,">$500,000"
124,Grace Trust,Therapy Programme 45,Seniors,Caregiving support,126,">$500,000"
125,Care Charity,Wellness Programme 98,Seniors,Sector training,50,"$100,000 to $200,000"
126,Haven Mission,Community Programme 81,Children & Youth,Personal development,5,"<$10,000"
127,Rainbow Society,Therapy Programme 65,Adults,Caregiving support,80,"$20,000 to $50,000"
128,Bridge Care Centre,Mentoring Programme 60,Seniors,Health & medical,3189,">$500,000"
129,Bridge Welfare Society,Social Programme 20,Adults,After-School Care,23008,">$500,000"
130,Bright Community Services,Health Programme 68,Seniors,Financial & material assistance,195,"$50,000 to $100,000"
131,Family Initiative,Education Programme 72,Seniors,Health & medical,487,">$500,000"
132,Rainbow Outreach,Wellness Programme 45,Children & Youth,Academic support,251,"$200,000 to $500,000"
133,Sunshine Collective,Community Programme 17,Seniors,Crisis & safety,45420,">$500,000"
134,Harmony Foundation,Therapy Programme 40,Adults,Mental health,443,">$500,000"
135,Family Alliance,Education Programme 65,Seniors,Caregiving support,2974,"$200,000 to $500,000"
136,Compassion Association,Outreach Programme 24,Seniors,Migrant worker support,11349,">$500,000"
137,Circle Council,Health Programme 79,Children & Youth,Caregiving support,15836,">$500,000"
138,Harmony Outreach,Health Programme 60,Children & Youth,After-School Care,265,"$200,000 to $500,000"
139,Community Mission,Financial Aid Programme 48,Seniors,Housing & shelter,34311,">$500,000"
140,Support Care Centre,Wellness Programme 56,Adults,Mental health,281,">$500,000"
141,Grace Group,Care Services 50,Adults,Crisis & safety,101,"$200,000 to $500,000"
142,United Welfare Society,Wellness Programme 98,Seniors,Caregiving support,91,"$10,000 to $20,000"
143,Bridge Care Centre,Skills Programme 15,Children & Youth,After-School Care,8,"<$10,000"
144,Youth Welfare Society,Rehabilitation Programme 3,Seniors,Caregiving support,124,"$200,000 to $500,000"
145,Rainbow Hub,Outreach Programme 86,Seniors,Social isolation,24,"$50,000 to $100,000"
146,Helping Society,Mentoring Programme 48,Children & Youth,Academic support,85,"$10,000 to $20,000"
147,Golden Association,Training Initiative 46,Seniors,Caregiving support,476,"$200,000 to $500,000"
148,Senior Services,Health Programme 5,Children & Youth,Academic support,13,"$10,000 to $20,000"
149,Helping Network,Training Initiative 97,Seniors,Families & parenting,23,"$20,000 to $50,000"
150,Wellness Collective,Health Programme 50,Children & Youth,At-risk youth engagement,305,"$50,000 to $100,000"
151,Family Hub,Outreach Programme 70,Children & Youth,Academic support,389,"$200,000 to $500,000"
152,Support Group,Health Programme 6,Seniors,Financial & material assistance,273,"$200,000 to $500,000"
153,Grace Outreach,Outreach Programme 4,Adults,Personal development,275,">$500,000"
154,Harmony Collective,Training Initiative 78,Adults,Health & medical,24881,"$200,000 to $500,000"
155,Harmony Collective,Community Programme 84,Children & Youth,Social isolation,8,"<$10,000"
156,Youth Network,Assistance Scheme 91,Children & Youth,Early childhood,40,"$10,000 to $20,000"
157,Family Community Services,Outreach Programme 92,Children & Youth,Academic support,21445,">$500,000"
158,Sunshine Alliance,Intervention Programme 21,Seniors,Caregiving support,11910,">$500,000"
159,Senior Council,Financial Aid Programme 4,Children & Youth,Early childhood,462,"$100,000 to $200,000"
160,United Collective,Financial Aid Programme 68,Children & Youth,Personal development,5334,"$200,000 to $500,000"
161,Support Outreach,Social Programme 45,Adults,Health & medical,42430,">$500,000"
162,Community Centre,Social Programme 20,Children & Youth,At-risk youth engagement,21,"$20,000 to $50,000"
163,New Trust,Rehabilitation Programme 36,Adults,At-risk youth engagement,98,"$50,000 to $100,000"
164,Circle Charity,Community Programme 73,Adults,Families & parenting,74,"$50,000 to $100,000"
165,Wellness Charity,Support Programme 64,Seniors,Caregiving support,205,"$100,000 to $200,000"
166,Support Services,Training Initiative 21,Children & Youth,Mental health,225,">$500,000"
167,Compassion Association,Therapy Programme 66,Seniors,Health & medical,16,"<$10,000"
168,Senior Centre,Training Initiative 38,Children & Youth,Academic support,494,"$50,000 to $100,000"
169,Care Welfare Society,Social Programme 60,Children & Youth,Migrant worker support,97,"$50,000 to $100,000"
170,Rainbow Group,Training Initiative 7,Children & Youth,Early childhood,43378,"$100,000 to $200,000"
171,Wellness Association,Assistance Scheme 94,Children & Youth,Early childhood,256,"$200,000 to $500,000"
172,Sunshine Alliance,Counselling Services 50,Seniors,Health & medical,473,"$200,000 to $500,000"
173,Compassion Group,Community Programme 72,Children & Youth,Mental health,311,"$200,000 to $500,000"
174,Senior Initiative,Financial Aid Programme 67,Children & Youth,At-risk youth engagement,33,"$10,000 to $20,000"
175,Compassion Charity,Intervention Programme 76,Children & Youth,Mental health,301,"$200,000 to $500,000"
176,Harmony Initiative,Education Programme 54,Seniors,Financial & material assistance,45592,">$500,000"
177,Haven Limited,Care Services 93,Adults,Health & medical,373,"$100,000 to $200,000"
178,Community Limited,Education Programme 25,Adults,Mental health,262,"$200,000 to $500,000"
179,Senior Care Centre,Development Programme 72,Children & Youth,Academic support,243,"$200,000 to $500,000"
180,Harmony Outreach,Assistance Scheme 79,Children & Youth,After-School Care,16,"$10,000 to $20,000"
181,United Trust,Financial Aid Programme 41,Children & Youth,Mental health,47795,">$500,000"
182,Harmony Association,Intervention Programme 6,Children & Youth,Early childhood,277,"$200,000 to $500,000"
183,Hope Support Services,Assistance Scheme 72,Seniors,At-risk youth engagement,7,"<$10,000"
184,Circle Care Centre,Care Services 82,Adults,At-risk youth engagement,27,"$100,000 to $200,000"
185,Sunshine Organization,Skills Programme 84,Children & Youth,Personal development,198,"$50,000 to $100,000"
186,Haven Limited,Care Services 69,Seniors,Health & medical,11974,"$100,000 to $200,000"
187,Care Alliance,Training Initiative 2,Children & Youth,Academic support,222,"$200,000 to $500,000"
188,Grace Community Services,Assistance Scheme 25,Adults,Mental health,42987,"$200,000 to $500,000"
189,Rainbow Outreach,Development Programme 23,Seniors,Legal aid,28530,"$100,000 to $200,000"
190,Care Association,Financial Aid Programme 42,Adults,Housing & shelter,25,"$20,000 to $50,000"
191,Rainbow Limited,Support Programme 34,Seniors,Health & medical,392,"$200,000 to $500,000"
192,Circle Care Centre,Intervention Programme 89,Adults,Families & parenting,24588,">$500,000"
193,Senior Community Services,Therapy Programme 54,Seniors,Social isolation,326,">$500,000"
194,Support Care Centre,Therapy Programme 10,Seniors,Social isolation,36,"$10,000 to $20,000"
195,Golden Care Centre,Health Programme 15,Seniors,Work & career,38,"$100,000 to $200,000"
196,Support Association,Social Programme 54,Children & Youth,End-of-life planning,395,"$200,000 to $500,000"
197,Hope Limited,Counselling Services 6,Children & Youth,Mental health,81,"$50,000 to $100,000"
198,Care Association,Skills Programme 48,Children & Youth,Mental health,25240,">$500,000"
199,Youth Organization,Rehabilitation Programme 51,Seniors,Legal aid,15,"<$10,000"
200,Wellness Support Services,Mentoring Programme 30,Adults,Disability support,147,">$500,000"
201,Singapore Council,Development Programme 9,Adults,Mental health,395,">$500,000"
202,Support Council,Rehabilitation Programme 28,Adults,Health & medical,19,"$20,000 to $50,000"
203,United Association,Social Programme 29,Children & Youth,Mental health,353,">$500,000"
204,Helping Society,Therapy Programme 83,Seniors,Caregiving support,407,"$50,000 to $100,000"
205,Care Support Services,Financial Aid Programme 31,Adults,Reintegration,30845,"$100,000 to $200,000"
206,Grace Association,Mentoring Programme 32,Children & Youth,Mental health,42,"$100,000 to $200,000"
207,Hope Society,Assistance Scheme 49,Seniors,At-risk youth engagement,88,"$50,000 to $100,000"
208,Hope Initiative,Intervention Programme 2,Adults,Families & parenting,8189,">$500,000"
209,Bright Support Services,Community Programme 100,Children & Youth,Personal development,234,"$200,000 to $500,000"
210,Youth Welfare Society,Community Programme 27,Children & Youth,At-risk youth engagement,493,">$500,000"
211,Rainbow Limited,Skills Programme 38,Adults,Families & parenting,15,"$10,000 to $20,000"
212,Haven Outreach,Community Programme 33,Children & Youth,Academic support,302,"$200,000 to $500,000"
213,Senior Support Services,Financial Aid Programme 24,Seniors,Health & medical,34838,">$500,000"
214,Wellness Association,Care Services 9,Seniors,Caregiving support,14,"$20,000 to $50,000"
215,Haven Outreach,Financial Aid Programme 85,Children & Youth,Mental health,35,"$10,000 to $20,000"
216,New Support Services,Intervention Programme 3,Seniors,Health & medical,463,">$500,000"
217,Hope Charity,Social Programme 33,Children & Youth,At-risk youth engagement,26,"$10,000 to $20,000"
218,Bright Council,Intervention Programme 88,Adults,Mental health,2577,">$500,000"
219,Helping Society,Support Programme 90,Adults,Mental health,28,"$100,000 to $200,000"
220,Community Council,Development Programme 89,Seniors,Disability support,89,"$10,000 to $20,000"
221,Golden Foundation,Development Programme 76,Adults,Mental health,26603,">$500,000"
222,Compassion Outreach,Rehabilitation Programme 43,Children & Youth,Mental health,403,"$200,000 to $500,000"
223,Youth Hub,Care Services 10,Children & Youth,Work & career,355,">$500,000"
224,Helping Council,Therapy Programme 71,Children & Youth,End-of-life planning,389,">$500,000"
225,Family Services,Assistance Scheme 20,Children & Youth,Mental health,429,"$50,000 to $100,000"
226,Singapore Alliance,Health Programme 47,Children & Youth,Disability support,6,"$10,000 to $20,000"
227,Singapore Services,Therapy Programme 71,Adults,Financial & material assistance,25747,">$500,000"
228,Sunshine Council,Social Programme 22,Seniors,Health & medical,205,"$200,000 to $500,000"
229,Wellness Network,Skills Programme 39,Children & Youth,Academic support,177,"$200,000 to $500,000"
230,Youth Association,Intervention Programme 1,Children & Youth,Academic support,462,"$100,000 to $200,000"
231,Senior Alliance,Community Programme 78,Seniors,Health & medical,21,"$50,000 to $100,000"
232,Rainbow Council,Community Programme 49,Children & Youth,Academic support,109,"$200,000 to $500,000"
233,Singapore Community Services,Development Programme 57,Children & Youth,At-risk youth engagement,485,"$200,000 to $500,000"
234,New Outreach,Wellness Programme 92,Children & Youth,Personal development,357,">$500,000"
235,Community Group,Rehabilitation Programme 77,Seniors,Social isolation,178,">$500,000"
236,Haven Outreach,Mentoring Programme 97,Children & Youth,Academic support,56,"$100,000 to $200,000"
237,Harmony Collective,Health Programme 99,Seniors,Health & medical,227,">$500,000"
238,Family Centre,Wellness Programme 45,Children & Youth,After-School Care,34652,">$500,000"
239,Support Initiative,Counselling Services 39,Adults,Mental health,485,"$200,000 to $500,000"
240,Grace Organization,Rehabilitation Programme 21,Children & Youth,At-risk youth engagement,15695,">$500,000"
241,Singapore Charity,Development Programme 58,Seniors,Financial & material assistance,160,"$200,000 to $500,000"
242,Youth Support Services,Outreach Programme 47,Children & Youth,Early childhood,8,"$10,000 to $20,000"
243,Compassion Charity,Mentoring Programme 76,Adults,Families & parenting,40960,">$500,000"
244,Golden Centre,Care Services 40,Adults,Mental health,45,"$20,000 to $50,000"
245,Senior Limited,Mentoring Programme 55,Adults,At-risk youth engagement,381,">$500,000"
246,Senior Organization,Community Programme 58,Seniors,Caregiving support,23,"$50,000 to $100,000"
247,Sunshine Care Centre,Financial Aid Programme 53,Seniors,Social isolation,29589,"$200,000 to $500,000"
248,United Society,Assistance Scheme 29,Seniors,Caregiving support,50,"$20,000 to $50,000"
249,Grace Centre,Education Programme 35,Seniors,Financial & material assistance,472,"$50,000 to $100,000"
250,Youth Mission,Care Services 39,Adults,Sector training,469,">$500,000"
251,Rainbow Group,Skills Programme 22,Seniors,Personal development,14,"$10,000 to $20,000"
252,New Charity,Rehabilitation Programme 22,Children & Youth,Mental health,344,">$500,000"
253,Wellness Society,Assistance Scheme 84,Adults,Financial & material assistance,125,"$100,000 to $200,000"
254,Senior Limited,Assistance Scheme 81,Children & Youth,Reintegration,457,">$500,000"
255,Support Welfare Society,Community Programme 75,Adults,At-risk youth engagement,6605,">$500,000"
256,Sunshine Collective,Development Programme 55,Adults,Families & parenting,196,"$200,000 to $500,000"
257,Helping Initiative,Training Initiative 6,Adults,After-School Care,1568,">$500,000"
258,Wellness Trust,Wellness Programme 84,Children & Youth,Academic support,18,"<$10,000"
259,Circle Mission,Outreach Programme 7,Children & Youth,Mental health,49995,">$500,000"
260,Singapore Trust,Financial Aid Programme 10,Adults,End-of-life planning,278,"$100,000 to $200,000"
261,Wellness Association,Financial Aid Programme 10,Adults,Families & parenting,7213,"$200,000 to $500,000"
262,Compassion Association,Wellness Programme 9,Seniors,Sector training,135,">$500,000"
263,Wellness Charity,Health Programme 28,Adults,Migrant worker support,114,"$200,000 to $500,000"
264,Senior Council,Assistance Scheme 83,Adults,Financial & material assistance,39,"$20,000 to $50,000"
265,Hope Care Centre,Social Programme 25,Seniors,Health & medical,452,">$500,000"
266,Helping Mission,Counselling Services 68,Adults,Housing & shelter,9150,">$500,000"
267,Circle Organization,Financial Aid Programme 99,Adults,End-of-life planning,5,"$10,000 to $20,000"
268,Compassion Care Centre,Intervention Programme 81,Seniors,Families & parenting,410,">$500,000"
269,Family Alliance,Counselling Services 66,Adults,Caregiving support,218,"$100,000 to $200,000"
270,Wellness Council,Training Initiative 32,Adults,Health & medical,364,"$100,000 to $200,000"
271,Singapore Association,Support Programme 21,Children & Youth,After-School Care,451,"$200,000 to $500,000"
272,New Centre,Support Programme 43,Children & Youth,Personal development,5,"$10,000 to $20,000"
273,Support Care Centre,Therapy Programme 8,Children & Youth,At-risk youth engagement,131,"$200,000 to $500,000"
274,Grace Foundation,Training Initiative 2,Adults,Mental health,24,"$50,000 to $100,000"
275,Haven Hub,Care Services 42,Adults,Health & medical,18278,">$500,000"
276,Circle Society,Outreach Programme 29,Seniors,Financial & material assistance,5018,">$500,000"
277,Sunshine Community Services,Support Programme 48,Adults,Families & parenting,20,"$10,000 to $20,000"
278,Rainbow Welfare Society,Development Programme 94,Seniors,Crisis & safety,54,"$20,000 to $50,000"
279,Golden Foundation,Mentoring Programme 95,Seniors,Health & medical,172,"$50,000 to $100,000"
280,Family Society,Care Services 67,Children & Youth,Academic support,433,"$200,000 to $500,000"
281,Family Limited,Training Initiative 56,Seniors,Disability support,184,"$100,000 to $200,000"
282,Support Network,Care Services 10,Adults,Mental health,50,"$10,000 to $20,000"
283,Support Community Services,Community Programme 53,Adults,Financial & material assistance,14108,">$500,000"
284,Family Organization,Intervention Programme 91,Seniors,Caregiving support,489,"$200,000 to $500,000"
285,Compassion Care Centre,Training Initiative 87,Children & Youth,Crisis & safety,12,"<$10,000"
286,Support Centre,Wellness Programme 16,Adults,Health & medical,50,"$50,000 to $100,000"
287,Circle Mission,Counselling Services 75,Seniors,Caregiving support,5,"$10,000 to $20,000"
288,Family Initiative,Education Programme 6,Children & Youth,Migrant worker support,37,"$100,000 to $200,000"
289,Circle Hub,Outreach Programme 46,Adults,Mental health,279,">$500,000"
290,Helping Hub,Rehabilitation Programme 62,Adults,Health & medical,25,"$20,000 to $50,000"
291,Singapore Collective,Therapy Programme 62,Seniors,Caregiving support,340,">$500,000"
292,Singapore Initiative,Care Services 4,Children & Youth,Early childhood,31,"$20,000 to $50,000"
293,Youth Council,Care Services 35,Seniors,Financial & material assistance,4165,"$200,000 to $500,000"
294,Care Council,Community Programme 95,Seniors,Health & medical,411,"$100,000 to $200,000"
295,Hope Welfare Society,Rehabilitation Programme 40,Adults,Mental health,170,"$100,000 to $200,000"
296,Golden Charity,Development Programme 17,Children & Youth,Academic support,21707,">$500,000"
297,Grace Group,Counselling Services 48,Seniors,Health & medical,102,"$200,000 to $500,000"
298,Wellness Mission,Financial Aid Programme 84,Children & Youth,Crisis & safety,36,"$20,000 to $50,000"
299,Care Collective,Intervention Programme 94,Seniors,Academic support,12,"<$10,000"
300,Community Organization,Community Programme 79,Adults,Work & career,305,"$50,000 to $100,000"
301,Harmony Initiative,Outreach Programme 82,Adults,Work & career,424,"$100,000 to $200,000"
302,Bright Services,Therapy Programme 33,Adults,Work & career,275,"$50,000 to $100,000"
303,Compassion Group,Rehabilitation Programme 49,Adults,Mental health,38384,">$500,000"
304,Community Alliance,Support Programme 41,Children & Youth,Personal development,138,"$200,000 to $500,000"
305,Family Initiative,Financial Aid Programme 91,Adults,Health & medical,361,"$200,000 to $500,000"
306,Hope Trust,Skills Programme 90,Seniors,Health & medical,17885,">$500,000"
307,Community Collective,Rehabilitation Programme 63,Adults,Families & parenting,1,"<$10,000"
308,Youth Foundation,Development Programme 22,Seniors,Crisis & safety,6,"$20,000 to $50,000"
309,Helping Outreach,Assistance Scheme 12,Seniors,Health & medical,246,"$100,000 to $200,000"
310,Support Community Services,Assistance Scheme 29,Children & Youth,Work & career,407,">$500,000"
311,Wellness Limited,Care Services 71,Adults,Work & career,27936,"$200,000 to $500,000"
312,United Services,Mentoring Programme 92,Adults,Financial & material assistance,37953,">$500,000"
313,Care Organization,Development Programme 25,Adults,Families & parenting,6,"<$10,000"
314,New Initiative,Counselling Services 12,Children & Youth,Early childhood,489,">$500,000"
315,Rainbow Care Centre,Skills Programme 15,Children & Youth,Academic support,37,"$20,000 to $50,000"
316,Youth Alliance,Rehabilitation Programme 45,Children & Youth,Health & medical,42,"$100,000 to $200,000"
317,Care Network,Mentoring Programme 19,Seniors,Financial & material assistance,70,"$50,000 to $100,000"
